date,team_1,team_2,team_1_goals,team_2_goals,tournament,is_team_1_home,is_team_2_home,is_neutral
27/9/98,Mali,Burkina Faso,1,0,Friendly,TRUE,FALSE,FALSE
28/9/98,Australia,Cook Islands,16,0,Oceania Nations Cup 1998,TRUE,FALSE,FALSE
28/9/98,New Zealand,Vanuatu,8,1,Oceania Nations Cup 1998,FALSE,FALSE,TRUE
29/9/98,Macedonia,Egypt,2,2,Friendly,TRUE,FALSE,FALSE
30/9/98,Fiji,Cook Islands,3,0,Oceania Nations Cup 1998,FALSE,FALSE,TRUE
30/9/98,Tahiti,Vanuatu,5,1,Oceania Nations Cup 1998,FALSE,FALSE,TRUE
2/10/98,Australia,Tahiti,4,1,Oceania Nations Cup 1998,TRUE,FALSE,FALSE
2/10/98,New Zealand,Fiji,1,0,Oceania Nations Cup 1998,FALSE,FALSE,TRUE
3/10/98,Bahrain,Sudan,2,3,Friendly,TRUE,FALSE,FALSE
3/10/98,Kenya,Madagascar,1,1,African Cup of Nations 2000 Qualifiers,TRUE,FALSE,FALSE
3/10/98,Morocco,Sierra Leone,3,0,African Cup of Nations 2000 Qualifiers,TRUE,FALSE,FALSE
3/10/98,Namibia,Congo,0,1,African Cup of Nations 2000 Qualifiers,TRUE,FALSE,FALSE
3/10/98,South Africa,Angola,1,0,African Cup of Nations 2000 Qualifiers,TRUE,FALSE,FALSE
4/10/98,Australia,New Zealand,0,1,Oceania Nations Cup 1998,TRUE,FALSE,FALSE
4/10/98,Burkina Faso,Nigeria,0,0,African Cup of Nations 2000 Qualifiers,TRUE,FALSE,FALSE
4/10/98,Cameroon,Ghana,1,3,African Cup of Nations 2000 Qualifiers,TRUE,FALSE,FALSE
4/10/98,Gabon,Mauritius,2,0,African Cup of Nations 2000 Qualifiers,TRUE,FALSE,FALSE
4/10/98,Mali,Ivory Coast,0,1,African Cup of Nations 2000 Qualifiers,TRUE,FALSE,FALSE
4/10/98,Mozambique,Eritrea,3,1,African Cup of Nations 2000 Qualifiers,TRUE,FALSE,FALSE
4/10/98,Tahiti,Fiji,2,4,Oceania Nations Cup 1998,FALSE,FALSE,TRUE
4/10/98,Togo,Guinea,2,0,African Cup of Nations 2000 Qualifiers,TRUE,FALSE,FALSE
4/10/98,Tunisia,Liberia,2,1,African Cup of Nations 2000 Qualifiers,TRUE,FALSE,FALSE
4/10/98,Zambia,Congo DR,1,1,African Cup of Nations 2000 Qualifiers,TRUE,FALSE,FALSE
10/10/98,Andorra,Ukraine,0,2,Euro 2000 Qualifiers,TRUE,FALSE,FALSE
10/10/98,Armenia,Iceland,0,0,Euro 2000 Qualifiers,TRUE,FALSE,FALSE
10/10/98,Azerbaijan,Hungary,0,4,Euro 2000 Qualifiers,TRUE,FALSE,FALSE
10/10/98,Bosnia-Herzegovina,Czech Republic,1,3,Euro 2000 Qualifiers,TRUE,FALSE,FALSE
10/10/98,Cyprus,Austria,0,3,Euro 2000 Qualifiers,TRUE,FALSE,FALSE
10/10/98,Denmark,Wales,1,2,Euro 2000 Qualifiers,TRUE,FALSE,FALSE
10/10/98,England,Bulgaria,0,0,Euro 2000 Qualifiers,TRUE,FALSE,FALSE
10/10/98,Italy,Switzerland,2,0,Euro 2000 Qualifiers,TRUE,FALSE,FALSE
10/10/98,Latvia,Georgia,1,0,Euro 2000 Qualifiers,TRUE,FALSE,FALSE
10/10/98,Liechtenstein,Slovakia,0,4,Euro 2000 Qualifiers,TRUE,FALSE,FALSE
10/10/98,Lithuania,Faroe Islands,0,0,Euro 2000 Qualifiers,TRUE,FALSE,FALSE
10/10/98,Malta,Croatia,1,4,Euro 2000 Qualifiers,TRUE,FALSE,FALSE
10/10/98,Netherlands,Peru,2,0,Friendly,TRUE,FALSE,FALSE
10/10/98,Northern Ireland,Finland,1,0,Euro 2000 Qualifiers,TRUE,FALSE,FALSE
10/10/98,Poland,Luxembourg,3,0,Euro 2000 Qualifiers,TRUE,FALSE,FALSE
10/10/98,Portugal,Romania,0,1,Euro 2000 Qualifiers,TRUE,FALSE,FALSE
10/10/98,Russia,France,2,3,Euro 2000 Qualifiers,TRUE,FALSE,FALSE
10/10/98,San Marino,Israel,0,5,Euro 2000 Qualifiers,TRUE,FALSE,FALSE
10/10/98,Scotland,Estonia,3,2,Euro 2000 Qualifiers,TRUE,FALSE,FALSE
10/10/98,Slovenia,Norway,1,2,Euro 2000 Qualifiers,TRUE,FALSE,FALSE
10/10/98,Turkey,Germany,1,0,Euro 2000 Qualifiers,TRUE,FALSE,FALSE
13/10/98,Kuwait,Iran,3,0,Friendly,TRUE,FALSE,FALSE
13/10/98,Netherlands,Ghana,0,0,Friendly,TRUE,FALSE,FALSE
14/10/98,Brazil,Ecuador,5,1,Friendly,FALSE,FALSE,TRUE
14/10/98,Bulgaria,Sweden,0,1,Euro 2000 Qualifiers,TRUE,FALSE,FALSE
14/10/98,Croatia,Macedonia,3,2,Euro 2000 Qualifiers,TRUE,FALSE,FALSE
14/10/98,Czech Republic,Estonia,4,1,Euro 2000 Qualifiers,TRUE,FALSE,FALSE
14/10/98,France,Andorra,2,0,Euro 2000 Qualifiers,TRUE,FALSE,FALSE
14/10/98,Greece,Georgia,3,0,Euro 2000 Qualifiers,TRUE,FALSE,FALSE
14/10/98,Hungary,Romania,1,1,Euro 2000 Qualifiers,TRUE,FALSE,FALSE
14/10/98,Iceland,Russia,1,0,Euro 2000 Qualifiers,TRUE,FALSE,FALSE
14/10/98,Ireland,Malta,5,0,Euro 2000 Qualifiers,TRUE,FALSE,FALSE
14/10/98,Israel,Spain,1,2,Euro 2000 Qualifiers,TRUE,FALSE,FALSE
14/10/98,Liechtenstein,Azerbaijan,2,1,Euro 2000 Qualifiers,TRUE,FALSE,FALSE
14/10/98,Lithuania,Bosnia-Herzegovina,4,2,Euro 2000 Qualifiers,TRUE,FALSE,FALSE
14/10/98,Luxembourg,England,0,3,Euro 2000 Qualifiers,TRUE,FALSE,FALSE
14/10/98,Moldova,Germany,1,3,Euro 2000 Qualifiers,TRUE,FALSE,FALSE
14/10/98,Norway,Albania,2,2,Euro 2000 Qualifiers,TRUE,FALSE,FALSE
14/10/98,San Marino,Austria,1,4,Euro 2000 Qualifiers,TRUE,FALSE,FALSE
14/10/98,Scotland,Faroe Islands,2,1,Euro 2000 Qualifiers,TRUE,FALSE,FALSE
14/10/98,Slovakia,Portugal,0,3,Euro 2000 Qualifiers,TRUE,FALSE,FALSE
14/10/98,Slovenia,Latvia,1,0,Euro 2000 Qualifiers,TRUE,FALSE,FALSE
14/10/98,Switzerland,Denmark,1,1,Euro 2000 Qualifiers,TRUE,FALSE,FALSE
14/10/98,Turkey,Finland,1,3,Euro 2000 Qualifiers,TRUE,FALSE,FALSE
14/10/98,Ukraine,Armenia,2,0,Euro 2000 Qualifiers,TRUE,FALSE,FALSE
14/10/98,Wales,Belarus,3,2,Euro 2000 Qualifiers,TRUE,FALSE,FALSE
17/10/98,Qatar,Burkina Faso,2,2,Friendly,TRUE,FALSE,FALSE
19/10/98,Oman,Burkina Faso,4,2,Friendly,TRUE,FALSE,FALSE
21/10/98,Oman,Burkina Faso,0,0,Friendly,TRUE,FALSE,FALSE
23/10/98,Bahrain,Burkina Faso,2,1,Friendly,TRUE,FALSE,FALSE
28/10/98,Japan,Egypt,1,0,Friendly,TRUE,FALSE,FALSE
4/11/98,Bulgaria,Algeria,0,0,Friendly,TRUE,FALSE,FALSE
6/11/98,USA,Australia,0,0,Friendly,TRUE,FALSE,FALSE
7/11/98,Tunisia,Zimbabwe,1,1,Friendly,TRUE,FALSE,FALSE
10/11/98,Slovakia,Poland,1,3,Friendly,TRUE,FALSE,FALSE
10/11/98,Tunisia,Latvia,3,0,Friendly,TRUE,FALSE,FALSE
15/11/98,Sri Lanka,Maldives,2,2,Friendly,TRUE,FALSE,FALSE
16/11/98,India,Uzbekistan,0,0,Friendly,TRUE,FALSE,FALSE
17/11/98,El Salvador,Mexico,0,2,Friendly,FALSE,FALSE,TRUE
17/11/98,Guatemala,Honduras,3,3,Friendly,FALSE,FALSE,TRUE
18/11/98,Albania,Greece,0,0,Euro 2000 Qualifiers,TRUE,FALSE,FALSE
18/11/98,Brazil,Russia,5,1,Friendly,TRUE,FALSE,FALSE
18/11/98,Egypt,Norway,1,1,Friendly,TRUE,FALSE,FALSE
18/11/98,El Salvador,Honduras,1,2,Friendly,FALSE,FALSE,TRUE
18/11/98,England,Czech Republic,2,0,Friendly,TRUE,FALSE,FALSE
18/11/98,Georgia,Estonia,3,1,Friendly,TRUE,FALSE,FALSE
18/11/98,Germany,Netherlands,1,1,Friendly,TRUE,FALSE,FALSE
18/11/98,Guatemala,Mexico,2,2,Friendly,FALSE,FALSE,TRUE
18/11/98,Hungary,Switzerland,2,0,Friendly,TRUE,FALSE,FALSE
18/11/98,Italy,Spain,2,2,Friendly,TRUE,FALSE,FALSE
18/11/98,Luxembourg,Belgium,0,0,Friendly,TRUE,FALSE,FALSE
18/11/98,Malta,Macedonia,1,2,Euro 2000 Qualifiers,TRUE,FALSE,FALSE
18/11/98,Northern Ireland,Moldova,2,2,Euro 2000 Qualifiers,TRUE,FALSE,FALSE
18/11/98,Portugal,Israel,2,0,Friendly,TRUE,FALSE,FALSE
18/11/98,San Marino,Cyprus,0,1,Euro 2000 Qualifiers,TRUE,FALSE,FALSE
18/11/98,Serbia,Ireland,1,0,Euro 2000 Qualifiers,FALSE,FALSE,FALSE
19/11/98,Hong Kong,Vietnam,1,1,Friendly,TRUE,FALSE,FALSE
19/11/98,India,Uzbekistan,0,4,Friendly,TRUE,FALSE,FALSE
21/11/98,Armenia,Estonia,2,1,Friendly,TRUE,FALSE,FALSE
21/11/98,Thailand,Turkmenistan,3,3,Friendly,TRUE,FALSE,FALSE
22/11/98,China,Korea Republic,0,0,Friendly,TRUE,FALSE,FALSE
25/11/98,Singapore,United Arab Emirates,0,4,Friendly,TRUE,FALSE,FALSE
27/11/98,Thailand,Nepal,2,0,Friendly,TRUE,FALSE,FALSE
28/11/98,Azerbaijan,Estonia,2,1,Friendly,TRUE,FALSE,FALSE
2/12/98,United Arab Emirates,Korea DPR,3,3,Friendly,FALSE,FALSE,TRUE
3/12/98,Mali,Ghana,0,2,Friendly,TRUE,FALSE,FALSE
6/12/98,British Virgin Islands,St. Vincent and the Grenadines,0,5,Friendly,TRUE,FALSE,FALSE
13/12/98,Burundi,Senegal,1,0,African Cup of Nations 2000 Qualifiers,TRUE,FALSE,FALSE
16/12/98,South Africa,Egypt,2,1,Friendly,TRUE,FALSE,FALSE
23/12/98,Israel,Serbia,2,0,Friendly,TRUE,FALSE,FALSE
27/12/98,Kuwait,Egypt,1,1,Friendly,TRUE,FALSE,FALSE
3/1/99,Ivory Coast,Togo,3,1,Friendly,TRUE,FALSE,FALSE
4/1/99,Burkina Faso,Gabon,2,1,Friendly,TRUE,FALSE,FALSE
10/1/99,Burkina Faso,Mali,1,0,Friendly,TRUE,FALSE,FALSE
10/1/99,Senegal,Guinea,1,0,Friendly,TRUE,FALSE,FALSE
12/1/99,Bermuda,Antigua and Barbuda,1,0,Friendly,TRUE,FALSE,FALSE
13/1/99,Senegal,Guinea,1,0,Friendly,TRUE,FALSE,FALSE
14/1/99,Bermuda,Antigua and Barbuda,0,1,Friendly,TRUE,FALSE,FALSE
15/1/99,Burkina Faso,Mali,4,1,Friendly,TRUE,FALSE,FALSE
18/1/99,Israel,Estonia,7,0,Friendly,TRUE,FALSE,FALSE
20/1/99,France,Morocco,1,0,Friendly,TRUE,FALSE,FALSE
20/1/99,Israel,Norway,0,1,Friendly,TRUE,FALSE,FALSE
22/1/99,Estonia,Norway,3,3,Friendly,FALSE,FALSE,TRUE
23/1/99,Eritrea,Cameroon,0,0,African Cup of Nations 2000 Qualifiers,TRUE,FALSE,FALSE
23/1/99,Mauritius,South Africa,1,1,African Cup of Nations 2000 Qualifiers,TRUE,FALSE,FALSE
23/1/99,Nigeria,Burundi,2,0,African Cup of Nations 2000 Qualifiers,TRUE,FALSE,FALSE
23/1/99,Senegal,Burkina Faso,1,1,African Cup of Nations 2000 Qualifiers,TRUE,FALSE,FALSE
23/1/99,Zimbabwe,Malawi,3,0,Friendly,TRUE,FALSE,FALSE
24/1/99,Angola,Gabon,3,1,African Cup of Nations 2000 Qualifiers,TRUE,FALSE,FALSE
24/1/99,Bolivia,USA,0,0,Friendly,TRUE,FALSE,FALSE
24/1/99,Congo,Mali,0,0,African Cup of Nations 2000 Qualifiers,TRUE,FALSE,FALSE
24/1/99,Congo DR,Kenya,2,1,African Cup of Nations 2000 Qualifiers,TRUE,FALSE,FALSE
24/1/99,Ghana,Mozambique,1,0,African Cup of Nations 2000 Qualifiers,TRUE,FALSE,FALSE
24/1/99,Guinea,Morocco,1,1,African Cup of Nations 2000 Qualifiers,TRUE,FALSE,FALSE
24/1/99,Ivory Coast,Namibia,3,0,African Cup of Nations 2000 Qualifiers,TRUE,FALSE,FALSE
24/1/99,Liberia,Uganda,2,0,African Cup of Nations 2000 Qualifiers,TRUE,FALSE,FALSE
24/1/99,Madagascar,Zambia,1,2,African Cup of Nations 2000 Qualifiers,TRUE,FALSE,FALSE
24/1/99,Zimbabwe,Malawi,1,0,Friendly,TRUE,FALSE,FALSE
27/1/99,Malta,Bosnia-Herzegovina,2,1,Friendly,TRUE,FALSE,FALSE
28/1/99,Costa Rica,Ecuador,0,0,Friendly,TRUE,FALSE,FALSE
29/1/99,Vietnam,Singapore,1,0,Friendly,TRUE,FALSE,FALSE
31/1/99,Ethiopia,Kenya,2,2,Friendly,TRUE,FALSE,FALSE
3/2/99,Malta,Poland,0,1,Friendly,TRUE,FALSE,FALSE
3/2/99,Venezuela,Argentina,0,2,Friendly,TRUE,FALSE,FALSE
6/2/99,Slovenia,Switzerland,0,2,Friendly,FALSE,FALSE,TRUE
6/2/99,USA,Germany,3,0,Friendly,TRUE,FALSE,FALSE
8/2/99,Oman,Slovenia,0,7,Friendly,TRUE,FALSE,FALSE
9/2/99,Belgium,Czech Republic,0,1,Friendly,TRUE,FALSE,FALSE
9/2/99,Colombia,Germany,3,3,Friendly,FALSE,FALSE,TRUE
9/2/99,Israel,Belarus,2,1,Friendly,TRUE,FALSE,FALSE
10/2/99,Albania,Macedonia,2,0,Friendly,TRUE,FALSE,FALSE
10/2/99,Croatia,Denmark,0,1,Friendly,TRUE,FALSE,FALSE
10/2/99,Cyprus,San Marino,4,0,Euro 2000 Qualifiers,TRUE,FALSE,FALSE
10/2/99,England,France,0,2,Friendly,TRUE,FALSE,FALSE
10/2/99,Finland,Poland,1,1,Friendly,FALSE,FALSE,TRUE
10/2/99,Ireland,Paraguay,2,0,Friendly,TRUE,FALSE,FALSE
10/2/99,Italy,Norway,0,0,Friendly,TRUE,FALSE,FALSE
10/2/99,Jamaica,Costa Rica,1,1,Friendly,TRUE,FALSE,FALSE
10/2/99,Malta,Serbia,0,3,Euro 2000 Qualifiers,TRUE,FALSE,FALSE
10/2/99,Mexico,Argentina,0,1,Friendly,FALSE,FALSE,TRUE
10/2/99,Oman,Switzerland,1,2,Friendly,TRUE,FALSE,FALSE
10/2/99,Peru,Ecuador,1,2,Friendly,TRUE,FALSE,FALSE
10/2/99,Portugal,Netherlands,0,0,Friendly,FALSE,FALSE,TRUE
10/2/99,Tunisia,Sweden,0,1,Friendly,TRUE,FALSE,FALSE
13/2/99,St. Lucia,Antigua and Barbuda,0,0,Friendly,TRUE,FALSE,FALSE
15/2/99,Kuwait,Iran,1,2,Friendly,TRUE,FALSE,FALSE
17/2/99,Ecuador,Peru,1,2,Friendly,TRUE,FALSE,FALSE
17/2/99,Guatemala,Chile,1,1,Friendly,TRUE,FALSE,FALSE
20/2/99,Gabon,Burkina Faso,1,1,Friendly,TRUE,FALSE,FALSE
20/2/99,Zimbabwe,Zambia,1,1,Friendly,TRUE,FALSE,FALSE
21/2/99,USA,Chile,2,1,Friendly,TRUE,FALSE,FALSE
22/2/99,Suriname,Guyana,2,1,Friendly,TRUE,FALSE,FALSE
24/2/99,Costa Rica,Jamaica,9,0,Friendly,TRUE,FALSE,FALSE
24/2/99,Israel,Latvia,2,0,Friendly,TRUE,FALSE,FALSE
24/2/99,St. Lucia,Grenada,1,2,Friendly,TRUE,FALSE,FALSE
27/2/99,South Africa,Gabon,4,1,African Cup of Nations 2000 Qualifiers,TRUE,FALSE,FALSE
28/2/99,Angola,Mauritius,0,2,African Cup of Nations 2000 Qualifiers,TRUE,FALSE,FALSE
28/2/99,British Virgin Islands,Antigua and Barbuda,0,2,Friendly,TRUE,FALSE,FALSE
28/2/99,Burundi,Burkina Faso,1,2,African Cup of Nations 2000 Qualifiers,TRUE,FALSE,FALSE
28/2/99,Cameroon,Mozambique,1,0,African Cup of Nations 2000 Qualifiers,TRUE,FALSE,FALSE
28/2/99,Congo,Ivory Coast,1,0,African Cup of Nations 2000 Qualifiers,TRUE,FALSE,FALSE
28/2/99,Ghana,Eritrea,5,0,African Cup of Nations 2000 Qualifiers,TRUE,FALSE,FALSE
28/2/99,Kenya,Zambia,0,1,African Cup of Nations 2000 Qualifiers,TRUE,FALSE,FALSE
28/2/99,Liberia,Algeria,1,1,African Cup of Nations 2000 Qualifiers,TRUE,FALSE,FALSE
28/2/99,Madagascar,Congo DR,3,1,African Cup of Nations 2000 Qualifiers,TRUE,FALSE,FALSE
28/2/99,Senegal,Nigeria,1,1,African Cup of Nations 2000 Qualifiers,TRUE,FALSE,FALSE
28/2/99,Togo,Morocco,2,3,African Cup of Nations 2000 Qualifiers,TRUE,FALSE,FALSE
3/3/99,Bolivia,Jamaica,0,0,Friendly,FALSE,FALSE,TRUE
